,Reverse,Non-Reverse
count,7.0,8.0
mean,48.881827218191965,41.90966606140137
std,7.98591432158077,9.513511959840894
min,36.4395751953125,26.98760986328125
25%,43.986236572265625,36.02667236328125
50%,50.8953857421875,45.27642059326172
75%,53.767913818359375,47.97685241699219
max,59.32952880859375,52.96441650390625
