Participant ID,Reverse_25%,Reverse_50%,Reverse_75%,Reverse_count,Reverse_max,Reverse_mean,Reverse_min,Reverse_std,Non-Reverse_25%,Non-Reverse_50%,Non-Reverse_75%,Non-Reverse_count,Non-Reverse_max,Non-Reverse_mean,Non-Reverse_min,Non-Reverse_std
01​,48.026458740234375,56.006103515625,64.15519714355469,7.0,79.4671630859375,56.38436017717634,34.85394287109375,14.655092642822853,35.030853271484375,35.952850341796875,38.28284454345703,8.0,92.29191207885742,43.27873373031616,32.88018798828125,20.0856650259616
02​,47.564788818359375,64.3865966796875,84.04280090332031,7.0,97.7987060546875,66.50290788922992,40.119873046875,22.979499952560182,39.315216064453125,48.15238571166992,63.62213134765625,8.0,102.61862182617188,57.64639186859131,33.42596435546875,27.61480262354107
03​,32.705841064453125,39.12017822265625,41.76214599609375,7.0,44.8480224609375,37.69915771484375,30.98992919921875,5.5267526548665575,29.40442657470703,32.686370849609375,37.88497924804688,8.0,45.57147216796875,33.444820404052734,20.68975830078125,8.434749139775208
04​,30.85943603515625,41.0308837890625,46.89596557617188,7.0,55.98825073242188,40.335950578962056,29.82171630859375,10.192565553572122,32.518898010253906,36.08346557617188,38.32662963867188,8.0,56.62013244628906,36.86659049987793,25.5198974609375,9.1723184830536
05​,50.122650146484375,53.4332275390625,65.71634674072266,7.0,76.84884643554688,57.66927446637835,41.724853515625,12.15022740619509,36.587135314941406,43.03976440429688,45.82591438293457,8.0,69.86956787109375,43.70318126678467,30.842041015625,12.013862782962374
06​,51.75543212890625,56.972412109375,72.01408386230469,7.0,86.63232421875,61.75935145786831,41.17169189453125,17.82639817780266,24.251983642578125,34.87306213378906,43.584205627441406,8.0,48.4425048828125,30.48180389404297,1.96435546875,18.1465082776868
07​,43.986236572265625,50.8953857421875,53.767913818359375,7.0,59.32952880859375,48.881827218191965,36.4395751953125,7.98591432158077,36.02667236328125,45.27642059326172,47.97685241699219,8.0,52.96441650390625,41.90966606140137,26.98760986328125,9.513511959840894
