,Reverse,Non-Reverse
count,7.0,8.0
mean,40.335950578962056,36.86659049987793
std,10.192565553572122,9.1723184830536
min,29.82171630859375,25.5198974609375
25%,30.85943603515625,32.518898010253906
50%,41.0308837890625,36.083465576171875
75%,46.895965576171875,38.326629638671875
max,55.988250732421875,56.62013244628906
