,Reverse,Non-Reverse
count,7.0,8.0
mean,37.69915771484375,33.444820404052734
std,5.5267526548665575,8.434749139775208
min,30.98992919921875,20.68975830078125
25%,32.705841064453125,29.40442657470703
50%,39.12017822265625,32.686370849609375
75%,41.76214599609375,37.884979248046875
max,44.8480224609375,45.57147216796875
