,Reverse,Non-Reverse
count,7.0,8.0
mean,56.38436017717634,43.27873373031616
std,14.655092642822853,20.0856650259616
min,34.85394287109375,32.88018798828125
25%,48.026458740234375,35.030853271484375
50%,56.006103515625,35.952850341796875
75%,64.15519714355469,38.28284454345703
max,79.4671630859375,92.29191207885742
