,Reverse,Non-Reverse
count,7.0,8.0
mean,61.759351457868306,30.48180389404297
std,17.82639817780266,18.1465082776868
min,41.17169189453125,1.96435546875
25%,51.75543212890625,24.251983642578125
50%,56.972412109375,34.87306213378906
75%,72.01408386230469,43.584205627441406
max,86.63232421875,48.4425048828125
