,Reverse,Non-Reverse
count,7.0,8.0
mean,66.50290788922992,57.64639186859131
std,22.979499952560186,27.61480262354107
min,40.119873046875,33.42596435546875
25%,47.564788818359375,39.315216064453125
50%,64.3865966796875,48.15238571166992
75%,84.04280090332031,63.62213134765625
max,97.7987060546875,102.61862182617188
