,Reverse,Non-Reverse
count,7.0,8.0
mean,57.66927446637835,43.70318126678467
std,12.15022740619509,12.013862782962374
min,41.724853515625,30.842041015625
25%,50.122650146484375,36.587135314941406
50%,53.4332275390625,43.039764404296875
75%,65.71634674072266,45.82591438293457
max,76.84884643554688,69.86956787109375
